3001_21_JUMP_STREET_00.02.55.644-00.02.56.718	00.02.55.644	00.02.56.718	00.02.55.181	00.02.57.181	Now outside, SOMEONE kicks over a trashcan.
3001_21_JUMP_STREET_00.02.56.321-00.02.58.664	00.02.56.321	00.02.58.664	00.02.56.321	00.02.58.664	Sitting on a nearby bench, the nerd looks over.
3001_21_JUMP_STREET_00.02.59.061-00.03.02.119	00.02.59.061	00.03.02.119	00.02.59.061	00.03.02.119	The jock slumps down on a bench on the other side of two columns.
3001_21_JUMP_STREET_00.03.02.119-00.03.05.113	00.03.02.119	00.03.05.113	00.03.02.119	00.03.05.113	With tearful eyes he notices the awkward teen watching him.
3001_21_JUMP_STREET_00.03.07.077-00.03.07.559	00.03.07.077	00.03.07.559	00.03.06.318	00.03.08.318	Tucking his longhair behind his ear, SOMEONE leaves.
3001_21_JUMP_STREET_00.03.07.659-00.03.12.706	00.03.07.659	00.03.12.706	00.03.07.659	00.03.12.706	The nerd wipes his own tears and stands.
3001_21_JUMP_STREET_00.03.13.271-00.03.16.551	00.03.13.271	00.03.16.551	00.03.13.271	00.03.16.551	He gives the trashcan a kick then grabs his aching leg.
3001_21_JUMP_STREET_00.03.17.430-00.03.19.702	00.03.17.430	00.03.19.702	00.03.17.430	00.03.19.702	Words appear: "Seven years later".
3001_21_JUMP_STREET_00.03.23.999-00.03.27.822	00.03.23.999	00.03.27.822	00.03.23.999	00.03.27.822	His close cropped hair now caramel brown.
3001_21_JUMP_STREET_00.03.23.999-00.03.27.338	00.03.23.999	00.03.27.338	00.03.23.999	00.03.27.338	The nerd enters the Metropolitan City Police Academy wearing a blue uniform and takes his place in a registration line.
3001_21_JUMP_STREET_00.03.33.915-00.03.37.182	00.03.33.915	00.03.37.182	00.03.33.915	00.03.37.182	Ahead in line, SOMEONE now sporting a buzz cut spots him.
3001_21_JUMP_STREET_00.03.39.479-00.03.41.056	00.03.39.479	00.03.41.056	00.03.39.268	00.03.41.268	The former nerd musters a courteous nod.
3001_21_JUMP_STREET_00.03.41.156-00.03.43.283	00.03.41.156	00.03.43.283	00.03.41.156	00.03.43.283	Now students spar in a hand-to-hand combat class.
3001_21_JUMP_STREET_00.03.47.179-00.03.47.864	00.03.47.179	00.03.47.864	00.03.46.522	00.03.48.522	SOMEONE lifts the former nerd.
3001_21_JUMP_STREET_00.03.47.964-00.03.50.464	00.03.47.964	00.03.50.464	00.03.47.964	00.03.50.464	He slams him down on the mat and raises his fist.
3001_21_JUMP_STREET_00.03.55.477-00.03.57.494	00.03.55.477	00.03.57.494	00.03.55.477	00.03.57.494	In another class SOMEONE gets an F on a test.
3001_21_JUMP_STREET_00.03.57.830-00.04.01.433	00.03.57.830	00.04.01.433	00.03.57.830	00.04.01.433	He notices SOMEONE's test which boasts a perfect score.
3001_21_JUMP_STREET_00.04.08.170-00.04.16.024	00.04.08.170	00.04.16.024	00.04.08.170	00.04.16.024	On an obstacle course, SOMEONE finishes a tire run then roots for SOMEONE.
3001_21_JUMP_STREET_00.04.16.124-00.04.22.796	00.04.16.124	00.04.22.796	00.04.16.124	00.04.22.796	Now SOMEONE tutors him.
3001_21_JUMP_STREET_00.04.23.131-00.04.29.247	00.04.23.131	00.04.29.247	00.04.23.131	00.04.29.247	Now by SOMEONE's bed, SOMEONE shoots him with a toy gun.
3001_21_JUMP_STREET_00.04.27.661-00.04.30.420	00.04.27.661	00.04.30.420	00.04.27.661	00.04.30.420	Then lifts his mattress, dumping him off.
3001_21_JUMP_STREET_00.04.31.324-00.04.33.334	00.04.31.324	00.04.33.334	00.04.31.324	00.04.33.334	Later he drags SOMEONE through a jog.
3001_21_JUMP_STREET_00.04.33.589-00.04.37.478	00.04.33.589	00.04.37.478	00.04.33.589	00.04.37.478	In a training course cutout targets swing out at them and they shoot.
3001_21_JUMP_STREET_00.04.37.478-00.04.41.088	00.04.37.478	00.04.41.088	00.04.37.478	00.04.41.088	The oddly matched recruits cover each other.
3001_21_JUMP_STREET_00.04.41.199-00.04.42.982	00.04.41.199	00.04.42.982	00.04.41.091	00.04.43.091	As SOMEONE finishes the tire run.
3001_21_JUMP_STREET_00.04.43.447-00.04.44.688	00.04.43.447	00.04.44.688	00.04.43.068	00.04.45.068	the teacher gives a thumbs up.
3001_21_JUMP_STREET_00.04.46.025-00.04.47.994	00.04.46.025	00.04.47.994	00.04.46.010	00.04.48.010	In class, SOMEONE gets a test back and pumps his fist.
3001_21_JUMP_STREET_00.04.50.923-00.04.53.160	00.04.50.923	00.04.53.160	00.04.50.923	00.04.53.160	He proudly shows his score, a C-.
3001_21_JUMP_STREET_00.04.54.287-00.04.55.595	00.04.54.287	00.04.55.595	00.04.53.941	00.04.55.941	They bump fists.
3001_21_JUMP_STREET_00.04.56.019-00.04.58.572	00.04.56.019	00.04.58.572	00.04.56.019	00.04.58.572	At graduation.
3001_21_JUMP_STREET_00.05.01.039-00.05.11.661	00.05.01.039	00.05.11.661	00.05.01.039	00.05.11.661	SOMEONE smirks and SOMEONE beams.
3001_21_JUMP_STREET_00.05.11.436-00.05.14.144	00.05.11.436	00.05.14.144	00.05.11.436	00.05.14.144	Now partners, they patrol a tranquil public park on bicycles.
3001_21_JUMP_STREET_00.05.21.714-00.05.23.328	00.05.21.714	00.05.23.328	00.05.21.521	00.05.23.521	there are some teens at a pond.
3001_21_JUMP_STREET_00.05.22.320-00.05.24.566	00.05.22.320	00.05.24.566	00.05.22.320	00.05.24.566	SOMEONE fishes it from the water.
3001_21_JUMP_STREET_00.05.27.229-00.05.28.465	00.05.27.229	00.05.28.465	00.05.26.847	00.05.28.847	He hurls it back.
3001_21_JUMP_STREET_00.05.29.021-00.05.32.792	00.05.29.021	00.05.32.792	00.05.29.021	00.05.32.792	Later he beats SOMEONE at red-hands.
3001_21_JUMP_STREET_00.05.33.309-00.05.36.553	00.05.33.309	00.05.36.553	00.05.33.309	00.05.36.553	Now they flip their guns.
3001_21_JUMP_STREET_00.05.44.209-00.05.45.901	00.05.44.209	00.05.45.901	00.05.44.055	00.05.46.055	A boy defiantly holds out torn bread.
3001_21_JUMP_STREET_00.05.52.194-00.05.54.021	00.05.52.194	00.05.54.021	00.05.52.108	00.05.54.108	SOMEONE stares ahead.
3001_21_JUMP_STREET_00.05.55.418-00.05.56.940	00.05.55.418	00.05.56.940	00.05.55.179	00.05.57.179	He sees a biker gang.
3001_21_JUMP_STREET_00.06.01.393-00.06.05.543	00.06.01.393	00.06.05.543	00.06.01.393	00.06.05.543	They pass a joint around.
3001_21_JUMP_STREET_00.06.07.743-00.06.11.541	00.06.07.743	00.06.11.541	00.06.07.743	00.06.11.541	SOMEONE struts off.
3001_21_JUMP_STREET_00.06.11.541-00.06.13.725	00.06.11.541	00.06.13.725	00.06.11.541	00.06.13.725	Now the partners furiously pedal their bicycles across a green lawn.
3001_21_JUMP_STREET_00.06.13.725-00.06.15.733	00.06.13.725	00.06.15.733	00.06.13.725	00.06.15.733	Little red and blue lights twinkle on their handlebars.
3001_21_JUMP_STREET_00.06.17.808-00.06.23.265	00.06.17.808	00.06.23.265	00.06.17.808	00.06.23.265	Reaching their destination, they climb off their bikes and lower their kickstands.
3001_21_JUMP_STREET_00.06.25.256-00.06.28.697	00.06.25.256	00.06.28.697	00.06.25.256	00.06.28.697	The rookies approach the biker gang.
3001_21_JUMP_STREET_00.06.38.509-00.06.40.297	00.06.38.509	00.06.40.297	00.06.38.403	00.06.40.403	SOMEONE smacks the joint from the leader's hand.
3001_21_JUMP_STREET_00.07.20.792-00.07.23.604	00.07.20.792	00.07.23.604	00.07.20.792	00.07.23.604	The bikers scatter.
3001_21_JUMP_STREET_00.07.26.430-00.07.29.170	00.07.26.430	00.07.29.170	00.07.26.430	00.07.29.170	SOMEONE gets on his bike.
3001_21_JUMP_STREET_00.07.30.014-00.07.31.787	00.07.30.014	00.07.31.787	00.07.29.901	00.07.31.901	SOMEONE chases the leader on foot.
3001_21_JUMP_STREET_00.07.35.001-00.07.38.051	00.07.35.001	00.07.38.051	00.07.35.001	00.07.38.051	A fat bearded biker crosses the bridge.
